JKL,ATC ,INN,Zašti?eno ime leka,FO,Pakovanje i ja?ina  leka,Naziv proizvo?a?a leka,Država proizvodnje leka,Cena leka na veliko za pakovanje,DDD,Cena leka na veliko po DDD,Participacija osiguranog lica,Indikacija,Napomena
2157101,A01AB09,mikonazol,DAKTANOL,oralni gel,"tuba, 1 po 40 g 2%",Galenika a.d.,Republika Srbija,240.10,"0,2 g",60.03,50.00,,
1122460,A02BC01,omeprazol,OMEPROL,"gastrorezistentna kapsula, tvrda","blister, 15 po 20 mg",Zdravlje a.d.,Republika Srbija,234.20,20 mg,15.61,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122846,A02BC01,omeprazol,ORTANOL,"gastrorezistentna kapsula, tvrda","blister, 14 po 20 mg",Ufar d.o.o. u saradnji sa Sandoz Pharmaceuticals d.d.,Republika Srbija,218.60,20 mg,15.61,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122935,A02BC01,omeprazol,OMEPRAZOL,"gastrorezistentna kapsula, tvrda","boca, 15 po 20 mg",Hemofarm a.d.,Republika Srbija,234.20,20 mg,15.61,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122867,A02BC02,pantoprazol,PANRAZOL,gastrorezistentna tableta,"blister, 14 po 40 mg",Zdravlje a.d; Balkanpharma-Dupnitsa ad;       Actavis LTD.;    Actavis EHF,Republika Srbija;  Bugarska; Malta;        Island,133.50,40 mg,9.54,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122920,A02BC02,pantoprazol,NOLPAZA,gastrorezistentna tableta,"blister, 14 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,133.50,40 mg,9.54,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122921,A02BC02,pantoprazol,NOLPAZA,gastrorezistentna tableta,"blister, 28 po 40 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,267.00,40 mg,9.54,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122160,A02BC03,lansoprazol,SABAX,"gastrorezistentna kapsula, tvrda","blister, 14 po 30 mg",Hemofarm a.d.,Republika Srbija,218.70,30 mg,15.62,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   , Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122161,A02BC03,lansoprazol,SABAX,"gastrorezistentna kapsula, tvrda","blister, 28 po 15 mg",Hemofarm a.d.,Republika Srbija,225.90,30 mg,16.14,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   , Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122859,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 7 po 20 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,76.20,30 mg,16.33,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
1122882,A02BC05,esomeprazol,EMANERA,"gastrorezistentna kapsula, tvrda","blister, 14 po 20 mg","Krka, Tovarna Zdravil, d.d.",Slovenija,152.40,30 mg,16.33,50.00,  Zollinger Elisonov sindrom trajno (E16.8).   ,  Lek se u terapiju uvodi na osnovu mišljenja gastroenterologa ili endokrinologa na osnovu patohistološkog nalaza.
